customer_id,DistinctItems,DistinctLocations,NetSpend,DistinctCity,DistinctState,customer_contact_acquisition_date,household_has_dillards_credit_card,unsubscribed_yn,total_email_sent_count,total_email_open_count,total_email_click_count,product_email_sent_count,product_email_open_count,product_email_click_count,sale_email_sent_count,sale_email_open_count,sale_email_click_count,last_email_open_date,last_email_click_date
136198749,2,2,62.49,2,2,1/30/2005,N,Y,34,5,1,26,4,1,2,0,0,6/22/2018,6/4/2018
197490180,1,1,56.99,1,1,7/7/2012,N,Y,31,1,1,26,1,1,2,0,0,5/16/2018,5/16/2018
149662746,2,1,44,1,1,10/30/2003,N,Y,30,1,0,26,1,0,2,0,0,5/31/2018,NULL
147273019,1,1,40,1,1,1/29/2003,N,Y,31,0,0,26,0,0,2,0,0,NULL,NULL
225681632,1,1,39.99,1,1,4/16/2018,N,Y,30,25,0,26,23,0,2,1,0,6/30/2018,NULL
225752280,1,1,39,1,1,4/23/2018,N,Y,28,0,0,26,0,0,2,0,0,NULL,NULL
220806670,10,1,771.2,1,1,12/29/2016,N,Y,29,11,0,27,11,0,2,0,0,6/29/2018,NULL
225624005,4,1,594,1,1,4/12/2018,N,Y,30,0,0,27,0,0,2,0,0,NULL,NULL
225150641,6,1,542,1,1,2/23/2018,N,Y,34,1,0,27,1,0,2,0,0,6/8/2018,NULL
225695803,2,1,436,1,1,4/18/2018,N,Y,32,1,1,27,1,1,2,0,0,5/29/2018,5/29/2018
225846724,7,2,326.8,2,2,5/3/2018,N,Y,31,0,0,27,0,0,2,0,0,NULL,NULL
135602624,7,1,308.25,1,1,8/5/1999,N,Y,34,5,0,27,4,0,2,0,0,6/23/2018,NULL
225914326,5,1,291.33,1,1,5/10/2018,N,Y,30,28,0,27,25,0,2,2,0,6/30/2018,NULL
144570504,2,1,206.25,1,1,4/8/2002,N,Y,29,0,0,27,0,0,2,0,0,NULL,NULL
218358922,3,1,189.99,1,1,5/26/2016,N,Y,29,0,0,27,0,0,2,0,0,NULL,NULL
224836886,3,1,171.5,1,1,1/21/2018,N,Y,29,1,0,27,1,0,2,0,0,6/23/2018,NULL
225443654,5,2,158.75,2,2,3/23/2018,N,N,35,0,0,27,0,0,2,0,0,NULL,NULL
192674424,9,1,148.46,1,1,2/14/2011,N,Y,34,5,0,27,3,0,2,2,0,6/30/2018,NULL
201482345,1,1,129,1,1,3/23/2013,N,Y,31,4,0,27,4,0,2,0,0,6/16/2018,NULL
222615752,2,1,122.4,1,1,7/6/2017,N,Y,35,17,6,27,13,5,2,0,0,7/1/2018,6/29/2018
225878825,1,2,120,2,1,5/7/2018,N,Y,34,34,0,27,27,0,2,2,0,6/30/2018,NULL
225613213,3,1,93.5,1,1,4/11/2018,N,Y,30,1,0,27,1,0,2,0,0,5/20/2018,NULL
224153029,1,1,88.2,1,1,12/2/2017,N,Y,32,0,0,27,0,0,2,0,0,NULL,NULL
225950129,2,1,84,1,1,5/12/2018,N,Y,30,2,1,27,2,1,2,0,0,6/2/2018,5/23/2018
225798376,3,1,74.88,1,1,4/28/2018,N,Y,31,0,0,27,0,0,2,0,0,NULL,NULL
225762692,1,1,72,1,1,4/25/2018,N,N,31,0,0,27,0,0,2,0,0,NULL,NULL
224769901,5,1,69.47,1,1,1/12/2018,N,Y,29,5,0,27,5,0,2,0,0,6/29/2018,NULL
224889199,1,1,36.22,1,1,1/26/2018,N,Y,31,0,0,27,0,0,2,0,0,NULL,NULL
225520644,2,1,23.2,1,1,3/30/2018,N,Y,30,2,0,27,2,0,2,0,0,5/28/2018,NULL
179492683,5,3,705.54,2,2,9/20/2007,N,Y,32,5,0,28,5,0,2,0,0,6/22/2018,NULL
225950549,1,1,495,1,1,5/13/2018,N,Y,32,0,0,28,0,0,2,0,0,NULL,NULL
